Día,Zn,Fe,Cu,Pb,Ins.,Flujo de aire al Tostador,Humedad conc,Conc. humedo alimentado (ton/hr),Agua alim. al Tostador (Lts/hr),Oxigeno consumido (m3),Concentrado Tostado,Temp. Garganta,Prom. Cama Tostador,Presion caja de viento,Produccion de calcina,Temp. Amb. Prom *,Días Tostador,delta_P,ciclo_operativo
01/01/2017,51.90,8.15,1.00,0.68,2.00,42373.62,10.46,28.23,5625.00,25786.80,586.00,900.82,890.60,1816.54,532.08,16.91,1.00,0.00,1.00
02/01/2017,50.82,8.17,1.00,0.68,2.02,40750.37,10.67,28.27,6750.00,25485.20,593.00,885.20,889.42,1782.77,530.74,17.74,1.00,-33.77,1.00
03/01/2017,52.44,8.43,1.03,0.83,2.24,40492.24,10.59,28.27,6875.00,25560.60,585.00,879.12,889.60,1763.82,531.76,17.90,1.00,-18.95,1.00
04/01/2017,52.10,8.32,1.04,0.90,2.28,42140.85,10.40,28.27,6750.00,25636.00,588.00,887.10,890.85,1730.66,533.28,19.03,1.00,-33.17,1.00
05/01/2017,52.82,8.24,1.09,0.79,2.28,41310.63,10.26,26.53,4916.67,25560.60,535.00,900.85,888.48,1699.56,486.64,21.64,1.00,-31.09,1.00
06/01/2017,53.32,8.48,1.05,0.80,2.42,41163.48,10.33,26.27,4666.67,25937.60,528.00,904.36,888.54,1693.96,481.60,19.87,1.00,-5.60,1.00
07/01/2017,50.63,9.43,1.07,0.90,2.60,41911.34,10.34,27.58,4375.00,25485.20,556.00,920.52,888.53,1714.79,506.24,9.64,1.00,20.83,1.00
08/01/2017,52.90,8.38,1.04,0.80,2.34,42132.87,10.23,28.24,5299.03,25485.20,567.00,918.61,887.07,1692.07,519.10,7.92,1.00,-22.72,1.00
09/01/2017,51.62,9.55,1.04,1.03,2.92,42150.10,10.11,28.53,5333.33,25937.60,578.00,919.45,887.98,1689.66,525.95,10.83,1.00,-2.41,1.00
10/01/2017,50.61,9.60,1.06,0.85,2.94,41906.51,10.15,28.95,5728.86,25711.40,557.00,924.22,886.74,1647.13,507.57,14.68,0.95,-42.53,1.00
11/01/2017,0.00,0.00,0.00,0.00,0.00,42396.44,10.05,29.06,5501.22,32271.20,240.00,880.41,855.09,1697.76,225.08,16.23,0.57,Error,1.00
12/01/2017,51.26,9.80,1.05,0.82,2.54,42375.87,10.20,29.28,6333.33,25485.20,589.00,896.52,892.35,1637.05,539.96,16.39,1.00,-10.07,1.00
13/01/2017,51.84,8.93,1.04,1.00,2.58,42155.50,10.22,29.81,7916.67,25711.40,609.00,879.11,892.70,1598.41,548.97,14.21,1.00,-38.65,1.00
14/01/2017,51.63,8.35,1.04,0.92,2.70,42242.58,10.16,29.56,7969.40,25786.80,604.00,875.17,896.19,1600.92,543.35,13.06,1.00,2.52,1.00
15/01/2017,51.98,8.20,1.06,0.87,2.34,42332.97,10.03,29.47,9416.67,25334.40,598.00,863.82,891.49,1529.57,543.64,16.46,1.00,-71.35,1.00
16/01/2017,53.27,8.18,1.07,0.99,2.46,42161.19,9.98,29.20,9089.65,25862.20,597.00,849.05,891.26,1567.93,538.72,17.12,1.00,38.36,1.00
17/01/2017,51.19,7.87,1.07,1.12,2.78,41970.93,10.16,29.05,8833.33,25636.00,603.00,856.06,896.85,1587.57,533.14,17.34,1.00,19.64,1.00
18/01/2017,51.34,8.03,1.08,0.92,2.98,42281.74,10.13,29.05,8208.33,25937.60,595.00,883.69,896.64,1640.27,535.00,17.21,1.00,52.71,1.00
19/01/2017,51.92,8.33,1.17,0.65,2.88,42200.22,9.97,29.19,8055.94,25485.20,595.00,898.59,890.18,1637.91,535.00,17.05,0.99,-2.37,1.00
20/01/2017,52.75,8.37,1.00,0.58,2.72,42079.08,10.25,29.12,8000.00,25711.40,600.00,879.62,891.78,1648.59,539.40,15.66,1.00,10.69,1.00
21/01/2017,52.99,8.25,1.19,0.57,2.66,41625.92,10.33,28.90,8084.21,25636.00,584.00,875.76,891.70,1659.30,530.32,16.52,0.99,10.71,1.00
22/01/2017,53.32,8.30,1.24,0.62,2.78,42173.37,10.04,28.86,7916.67,25636.00,594.00,880.62,890.12,1690.42,535.80,16.92,1.00,31.12,1.00
23/01/2017,52.86,8.39,1.12,0.53,2.42,41367.07,10.13,28.50,7375.00,25183.60,590.00,884.15,886.55,1658.18,528.82,17.70,1.00,-32.24,1.00
24/01/2017,53.68,8.50,1.18,0.58,3.00,41218.00,9.95,28.47,6592.02,26088.40,587.00,905.76,888.78,1657.52,531.52,18.15,0.99,-0.66,1.00
25/01/2017,52.93,8.12,1.09,1.04,2.60,41279.42,10.09,28.47,6708.33,25862.20,591.00,878.18,890.76,1657.55,535.04,17.82,1.00,0.03,1.00
26/01/2017,53.62,8.49,1.12,0.70,2.32,41434.68,10.18,28.47,6958.33,25786.80,585.00,876.46,887.12,1686.61,534.76,14.94,1.00,29.05,1.00
27/01/2017,52.52,8.45,1.15,0.68,2.42,40945.95,10.23,28.48,6619.82,25485.20,595.00,888.69,887.08,1734.97,537.14,15.97,0.99,48.36,1.00
28/01/2017,52.56,8.64,1.14,0.71,2.26,41124.60,9.92,28.50,5929.02,25786.80,601.00,904.59,888.49,1733.31,545.11,10.38,1.00,-1.65,1.00
29/01/2017,52.35,8.42,1.16,0.70,2.40,41193.26,10.16,28.47,6208.33,25786.80,600.00,911.18,889.27,1734.18,544.23,7.67,1.00,0.86,1.00
30/01/2017,52.45,9.06,1.12,0.70,2.30,41141.10,10.03,28.49,6727.02,25711.40,619.00,905.30,887.33,1719.51,557.11,11.41,1.00,-14.67,1.00
31/01/2017,52.97,8.49,1.26,0.75,2.70,41225.41,10.09,28.49,7125.00,26013.00,625.00,900.97,890.20,1723.43,557.00,15.91,1.00,3.92,1.00
01/02/2017,52.46,8.42,1.20,0.70,2.44,41266.31,9.96,27.41,6133.52,27596.40,596.00,897.61,892.26,1713.49,524.48,14.58,1.00,-9.95,1.00
02/02/2017,51.56,8.49,1.09,0.60,2.34,40821.73,9.98,26.53,5250.00,23600.20,568.00,901.61,890.89,1710.41,509.45,14.75,1.00,-3.08,1.00
03/02/2017,52.39,8.66,1.10,0.61,2.60,40557.13,10.13,26.46,5291.67,25560.60,565.00,892.56,891.70,1687.65,507.54,14.39,1.00,-22.76,1.00
04/02/2017,52.36,8.63,1.07,0.58,2.60,40714.09,10.10,26.47,4708.33,25711.40,544.00,896.65,892.53,1671.12,491.82,15.29,1.00,-16.54,1.00
05/02/2017,51.53,8.58,1.12,0.61,2.60,40560.35,10.33,26.47,5541.67,25711.40,542.00,882.86,891.96,1648.39,490.06,15.63,1.00,-22.73,1.00
06/02/2017,52.60,8.56,1.09,0.68,2.60,40615.50,10.16,26.55,5910.45,25485.20,505.00,871.12,883.14,1555.37,457.50,19.19,0.93,-93.02,1.00
07/02/2017,52.39,8.40,1.05,0.61,2.46,40661.97,10.14,26.47,5666.67,26013.00,543.00,874.06,890.88,1619.86,490.94,19.74,1.00,64.49,1.00
08/02/2017,52.13,8.54,1.09,0.63,2.36,40490.26,10.09,26.93,5595.85,25334.40,517.00,859.47,882.83,1572.93,468.06,20.96,0.94,-46.93,1.00
09/02/2017,51.61,8.43,1.00,0.63,2.44,40563.19,9.95,26.46,5822.22,25334.40,517.00,884.10,877.85,1598.05,459.96,15.28,0.94,25.12,1.00
10/02/2017,0.00,0.00,0.00,0.00,0.00,40960.68,10.10,27.38,4100.00,9123.40,214.00,850.46,848.19,1693.19,201.42,16.83,0.42,Error,1.00
11/02/2017,52.23,8.70,0.96,0.62,2.80,40519.45,10.23,26.47,5041.67,25636.00,544.00,891.84,893.05,1595.00,490.89,18.63,1.00,-3.05,1.00
12/02/2017,51.89,8.70,0.97,0.60,2.28,40573.47,10.08,26.47,6083.33,25937.60,545.00,881.36,893.32,1588.72,491.77,17.88,1.00,-6.28,1.00
13/02/2017,51.90,8.44,0.94,0.54,2.48,40443.37,9.84,26.48,5791.67,25786.80,540.86,881.06,893.02,1582.42,488.13,17.62,1.00,-6.30,1.00
14/02/2017,51.84,8.55,0.98,0.58,2.56,41101.43,10.10,26.49,5863.34,22620.00,513.00,859.20,895.27,1524.24,463.61,18.26,0.95,-58.18,1.00
15/02/2017,51.79,8.68,0.98,0.63,2.84,41188.30,10.28,26.47,6041.67,25862.20,546.00,858.95,901.36,1556.45,490.15,14.05,1.00,32.21,1.00
16/02/2017,51.29,8.54,0.91,0.59,2.84,42904.40,10.08,26.47,6750.00,25786.80,545.00,862.93,901.06,1506.44,491.77,14.52,1.00,-50.01,1.00
17/02/2017,51.82,8.68,0.98,0.58,2.76,43094.32,10.10,26.47,6791.67,25862.20,543.00,858.77,902.00,1489.21,491.66,16.10,1.00,-17.23,1.00
18/02/2017,51.69,8.53,0.90,0.56,2.58,42863.90,10.03,26.47,7166.67,25711.40,552.00,861.51,901.98,1494.55,498.47,17.68,1.00,5.34,1.00
19/02/2017,52.40,8.58,0.95,0.57,2.64,43046.65,10.00,26.47,6708.33,25862.20,553.00,867.55,903.66,1490.52,499.35,16.40,1.00,-4.03,1.00
20/02/2017,51.48,8.45,0.92,0.58,2.54,42958.89,9.98,26.45,6166.67,25786.80,552.00,865.73,902.77,1523.83,498.47,16.25,1.00,33.31,1.00
21/02/2017,52.59,8.26,1.07,0.69,2.36,42611.46,10.05,26.56,5595.41,25937.60,536.00,877.43,896.61,1561.22,484.39,15.55,0.97,37.39,1.00
22/02/2017,51.99,7.87,1.11,0.81,2.56,43051.92,10.14,26.47,5541.67,25409.80,569.00,873.39,900.10,1590.96,509.39,18.27,1.00,29.74,1.00
23/02/2017,52.42,7.74,1.21,0.96,2.34,43277.58,10.04,26.47,4916.67,26239.20,564.00,885.97,898.78,1569.77,510.57,19.15,1.00,-21.19,1.00
24/02/2017,52.29,7.69,1.14,0.91,2.54,42969.58,10.13,26.47,5916.67,24429.60,565.00,877.70,900.14,1614.07,509.99,19.23,1.00,44.30,1.00
25/02/2017,51.18,7.88,1.07,0.82,2.36,43174.68,10.14,26.47,5833.33,25485.20,571.00,901.37,899.42,1620.30,512.77,16.55,1.00,6.23,1.00
26/02/2017,51.02,8.03,1.00,0.74,2.26,43541.24,10.08,26.80,5166.67,26013.00,579.00,908.45,902.72,1607.08,519.81,20.49,1.00,-13.22,1.00
27/02/2017,51.72,8.34,1.07,0.70,2.60,43216.97,10.04,27.21,5666.67,25937.60,587.00,911.67,902.37,1601.32,527.19,21.74,1.00,-5.75,1.00
28/02/2017,51.38,8.23,1.16,0.70,2.76,43368.08,10.05,27.62,6291.67,25560.60,596.00,901.03,902.70,1610.42,532.27,22.57,1.00,9.10,1.00
01/03/2017,51.75,8.22,1.21,0.70,2.82,44051.84,10.00,28.16,6875.00,25937.60,608.00,894.43,901.11,1612.92,545.81,20.96,1.00,2.50,1.00
02/03/2017,52.22,8.55,1.21,0.87,2.84,44067.78,10.03,28.59,6652.63,26013.00,608.00,886.74,900.43,1634.75,548.58,13.84,0.99,21.83,1.00
03/03/2017,51.10,8.80,1.18,0.66,2.78,43949.55,9.98,28.43,6625.00,25409.80,611.00,878.66,900.26,1653.43,551.22,12.45,1.00,18.68,1.00
04/03/2017,49.90,8.66,1.16,0.77,3.04,44056.88,10.12,28.14,4766.55,25862.20,602.00,909.35,899.90,1605.17,543.30,14.09,1.00,-48.26,1.00
05/03/2017,50.64,8.43,1.12,0.69,2.60,44460.59,10.10,28.29,3549.06,26013.00,612.00,942.79,901.93,1566.00,546.56,17.08,1.00,-39.16,1.00
06/03/2017,50.82,9.11,1.13,0.65,2.60,42037.16,10.23,28.94,3134.33,16663.40,344.00,901.83,864.05,1559.60,302.72,19.27,0.56,-6.40,1.00
07/03/2017,0.00,0.00,0.00,0.00,0.00,39173.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.49,0.00,0.00,2.00
08/03/2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.78,0.00,0.00,2.00
09/03/2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.53,0.00,0.00,2.00
10/03/2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.17,0.00,0.00,2.00
11/03/2017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.03,0.00,0.00,2.00
12/03/2017,0.00,0.00,0.00,0.00,0.00,39945.31,10.08,27.75,1116.28,5881.20,180.00,854.23,879.83,1571.37,158.40,14.22,0.30,0.00,2.00
13/03/2017,50.67,8.77,1.11,0.69,2.72,44105.31,10.20,29.14,1881.78,24278.80,624.00,849.65,894.15,1706.62,562.66,16.09,1.00,147.03,2.00
14/03/2017,51.59,8.84,1.07,0.63,3.08,44117.44,10.08,29.49,3125.00,25786.80,633.00,902.06,892.10,1687.63,570.58,14.84,1.00,-19.00,2.00
15/03/2017,51.79,8.86,1.16,0.69,2.92,44282.04,9.91,29.68,4387.19,26013.00,634.00,893.23,889.36,1700.26,574.80,15.61,1.00,12.64,2.00
16/03/2017,52.38,8.20,1.12,0.83,2.68,44546.91,10.15,29.78,5875.00,22167.60,629.00,882.90,891.50,1698.20,577.37,15.66,1.00,-2.06,2.00
17/03/2017,51.88,8.68,1.19,0.76,3.10,44534.50,10.25,29.87,6041.67,26013.00,632.00,864.46,893.46,1691.28,578.01,16.54,1.00,-6.92,2.00
18/03/2017,52.93,8.60,1.08,0.85,2.92,44691.01,10.28,30.00,6833.33,25711.40,635.00,873.41,891.83,1670.32,580.65,16.55,1.00,-20.96,2.00
19/03/2017,52.12,8.75,1.18,0.76,3.26,44703.92,10.23,30.07,6916.67,25711.40,636.00,874.53,890.39,1635.55,581.62,15.40,1.00,-34.76,2.00
20/03/2017,52.26,8.46,1.07,0.85,2.96,44611.56,10.21,30.07,7666.67,25937.60,636.00,862.44,892.98,1584.32,581.64,18.51,1.00,-51.23,2.00
21/03/2017,51.86,8.34,1.02,0.90,2.70,44742.20,10.16,30.07,7666.67,26013.00,640.00,874.11,895.17,1609.92,582.16,19.99,1.00,25.60,2.00
22/03/2017,51.37,8.38,1.01,0.77,1.80,44740.53,10.08,30.06,7500.00,25711.40,659.00,882.40,890.68,1565.06,601.52,18.95,1.00,-44.87,2.00
23/03/2017,52.15,8.20,1.03,0.84,3.16,44766.36,10.23,30.07,7666.67,25937.60,641.00,876.28,896.85,1569.08,581.44,18.92,1.00,4.02,2.00
24/03/2017,53.82,8.58,1.02,0.78,2.60,44795.43,10.12,30.07,7708.33,21639.80,642.00,876.83,897.54,1574.44,582.32,21.95,1.00,5.36,2.00
25/03/2017,51.13,7.85,1.07,0.92,2.68,44876.78,10.08,30.07,7375.00,20433.40,651.00,891.47,898.40,1539.03,580.88,20.23,1.00,-35.41,2.00
26/03/2017,53.00,8.45,1.04,0.80,2.44,44804.30,9.99,30.07,7375.00,20207.20,654.00,903.55,899.60,1520.95,581.89,22.34,1.00,-18.08,2.00
27/03/2017,50.80,8.60,1.15,0.77,2.66,44744.53,10.19,29.27,6416.67,20282.60,624.00,896.10,898.17,1584.70,566.48,22.94,1.00,63.75,2.00
28/03/2017,52.12,8.69,1.13,0.83,2.76,44553.40,10.05,29.06,7291.67,20282.60,620.00,886.16,897.91,1594.66,563.93,22.30,1.00,9.96,2.00
29/03/2017,14.19,26.58,1.20,5.92,0.00,46327.22,10.10,29.32,7520.89,20433.40,624.00,886.69,896.64,1605.44,566.50,20.62,1.00,10.78,2.00
30/03/2017,13.95,25.31,1.15,5.50,0.00,46545.91,10.18,29.47,7333.33,19679.40,627.00,894.60,897.35,1630.06,570.62,20.80,1.00,24.62,2.00
31/03/2017,16.62,29.52,1.40,4.61,0.00,46164.35,10.13,29.50,7000.00,24429.60,640.00,902.02,896.96,1636.93,581.51,21.62,1.00,6.87,2.00
01/04/2017,52.94,8.16,1.12,0.68,3.14,46313.76,9.88,29.44,7217.39,24580.40,616.00,909.07,897.78,1618.08,547.08,20.55,0.96,-18.85,2.00
02/04/2017,53.50,8.25,1.12,0.66,2.85,46162.21,10.12,29.50,7385.26,26239.20,637.00,902.87,897.68,1654.41,569.09,21.01,1.00,36.33,2.00
03/04/2017,52.52,7.86,1.18,0.60,3.48,46067.19,10.14,29.47,6583.33,25862.20,630.00,901.47,897.57,1692.43,570.28,21.82,1.00,38.02,2.00
04/04/2017,52.86,7.75,1.15,0.62,3.14,44555.67,10.06,29.50,6025.10,25937.60,626.00,913.59,897.55,1718.93,569.09,22.27,1.00,26.49,2.00
05/04/2017,53.46,7.70,1.23,0.71,3.48,44555.55,10.09,29.47,5083.33,25862.20,628.00,918.79,897.01,1743.94,570.85,19.66,1.00,25.02,2.00
06/04/2017,53.40,7.72,1.19,0.72,2.72,44801.67,10.38,29.47,4916.67,26013.00,623.00,917.73,896.06,1721.55,569.45,15.76,1.00,-22.39,2.00
07/04/2017,51.19,8.43,1.15,0.97,4.10,44736.14,10.23,29.46,5250.00,26013.00,624.00,916.54,897.98,1702.34,570.36,18.38,1.00,-19.21,2.00
08/04/2017,50.71,8.36,1.18,0.99,3.64,43283.67,10.02,29.47,5173.91,25711.40,599.00,909.66,891.42,1645.55,548.37,20.20,0.96,-56.79,2.00
09/04/2017,51.39,8.33,1.15,0.95,3.64,44682.03,10.05,29.47,5250.00,26013.00,626.00,910.78,896.05,1711.74,571.51,22.11,1.00,66.20,2.00
10/04/2017,50.51,8.23,1.14,0.94,3.50,44714.17,10.25,29.47,5375.00,25937.60,624.00,908.08,895.91,1718.42,570.37,21.69,1.00,6.68,2.00
11/04/2017,50.87,8.36,1.17,1.03,3.60,44666.12,10.12,29.45,5549.37,25862.20,626.00,900.85,897.16,1719.74,569.91,18.35,1.00,1.31,2.00
12/04/2017,50.84,8.44,1.13,1.03,3.54,44682.30,10.06,29.47,6041.67,25862.20,624.00,909.96,895.32,1716.30,571.77,16.82,1.00,-3.44,2.00
13/04/2017,53.08,8.71,1.16,1.05,3.88,44713.97,10.15,29.60,5716.27,26088.40,629.00,904.07,894.50,1721.51,568.65,16.19,1.00,5.21,2.00
14/04/2017,50.26,8.33,1.12,1.03,4.72,44698.38,10.09,29.67,6000.00,25862.20,634.00,910.82,894.66,1727.79,570.17,17.90,1.00,6.28,2.00
15/04/2017,52.06,8.65,1.12,1.00,3.64,44712.56,10.00,29.67,5929.02,25862.20,642.00,915.31,894.12,1733.27,568.84,19.43,1.00,5.48,2.00
16/04/2017,52.10,8.69,1.18,0.97,3.60,44791.13,10.23,29.66,6375.00,26088.40,629.00,916.80,892.56,1744.49,569.80,19.24,1.00,11.22,2.00
17/04/2017,51.84,8.69,1.17,0.96,3.12,44728.53,10.35,29.64,6091.79,25937.60,621.00,904.72,892.85,1776.64,565.26,19.20,1.00,32.15,2.00
18/04/2017,51.67,8.61,1.21,0.94,3.26,44552.36,10.19,29.66,5458.33,25862.20,619.00,911.61,892.53,1778.71,567.32,15.89,1.00,2.08,2.00
19/04/2017,51.87,8.60,1.21,0.92,3.32,44733.01,10.33,29.70,5803.76,26088.40,628.00,907.64,891.89,1769.37,560.30,17.79,1.00,-9.34,2.00
20/04/2017,51.82,8.52,1.35,0.92,3.90,44815.34,10.18,29.64,5250.00,25786.80,634.00,914.74,892.81,1778.68,560.42,18.71,1.00,9.31,2.00
21/04/2017,52.39,8.61,1.36,0.89,3.56,44689.53,10.13,29.88,6504.52,26013.00,636.00,889.31,894.62,1811.72,565.08,20.86,1.00,33.04,2.00
22/04/2017,51.81,8.55,1.32,0.76,3.50,44878.26,10.08,29.86,3991.67,25937.60,638.00,906.21,894.82,1853.08,565.52,21.53,1.00,41.35,2.00
23/04/2017,51.13,8.45,1.30,0.75,3.60,44813.91,10.28,29.82,2583.33,26013.00,637.00,913.10,894.75,1827.15,563.06,18.09,1.00,-25.92,2.00
24/04/2017,51.65,8.49,1.28,0.66,3.06,44689.00,10.26,30.01,3375.00,24128.00,625.00,908.41,893.77,1793.32,564.33,22.06,1.00,-33.84,2.00
25/04/2017,51.27,8.54,1.32,0.71,3.24,44688.58,10.28,30.06,3958.33,26239.20,624.00,905.02,894.88,1787.29,565.95,21.41,1.00,-6.03,2.00
26/04/2017,52.46,8.80,1.31,0.87,2.90,44951.61,10.32,30.04,3708.33,25862.20,626.00,901.02,894.35,1790.09,565.21,23.24,1.00,2.80,2.00
27/04/2017,52.78,8.69,1.12,0.84,2.82,44817.89,10.30,30.06,3416.67,26239.20,624.00,912.57,894.04,1793.87,565.95,23.16,1.00,3.78,2.00
28/04/2017,51.85,8.56,1.19,0.76,2.82,44718.49,10.41,30.07,3708.33,26088.40,626.00,916.88,892.38,1795.10,558.51,22.35,1.00,1.22,2.00
29/04/2017,51.26,8.88,1.22,0.84,3.60,44734.77,10.42,30.07,4166.67,26088.40,500.00,915.05,892.16,1775.39,456.78,23.38,1.00,-19.70,2.00
30/04/2017,51.59,8.90,1.20,0.85,3.46,44983.68,10.43,30.09,3583.33,25862.20,620.00,929.20,892.03,1784.63,559.72,22.06,1.00,9.23,2.00
01/05/2017,51.49,8.89,1.22,0.89,3.60,44780.72,10.48,30.05,4125.00,26163.80,621.00,914.47,892.06,1809.99,558.26,20.10,1.00,25.37,2.00
02/05/2017,50.97,8.79,1.22,0.79,3.46,44849.52,10.31,30.07,3836.00,25937.60,615.00,909.55,892.92,1852.46,560.98,23.89,1.00,42.46,2.00
03/05/2017,51.52,8.57,1.21,0.77,3.44,43023.23,10.16,30.09,3681.52,26013.00,595.00,906.26,888.15,1854.25,532.91,25.03,0.95,1.79,2.00
04/05/2017,53.47,7.81,1.25,0.80,3.24,44926.46,10.27,30.07,4166.67,26314.60,627.00,904.54,890.40,1863.05,559.76,18.87,1.00,8.80,2.00
05/05/2017,53.75,7.87,1.23,0.77,3.16,44974.06,10.26,30.07,4041.67,26088.40,627.00,910.94,890.35,1869.68,559.76,18.60,1.00,6.62,2.00
06/05/2017,52.31,7.92,1.25,0.75,3.28,44906.48,10.19,30.04,4000.00,26390.00,635.00,916.32,891.21,1876.12,581.40,20.21,1.00,6.45,2.00
07/05/2017,52.22,7.40,1.16,0.63,3.06,44284.84,10.16,28.76,3125.00,25862.20,585.00,905.07,889.27,1884.87,537.40,22.93,1.00,8.74,2.00
08/05/2017,52.22,7.44,1.23,0.67,2.82,44720.37,10.23,29.48,3833.33,26163.80,605.00,889.54,889.32,1839.95,549.50,22.32,1.00,-44.91,2.00
09/05/2017,52.22,7.37,1.19,0.69,2.78,44850.57,10.18,30.06,4000.00,26088.40,623.00,905.79,891.18,1873.93,561.11,22.66,1.00,33.97,2.00
10/05/2017,53.33,7.68,1.19,0.79,2.82,42883.26,10.11,27.13,2916.67,25937.60,568.00,894.06,889.59,1812.16,504.84,22.00,1.00,-61.76,2.00
11/05/2017,53.07,7.73,1.24,0.80,2.50,42731.78,10.06,26.60,2625.00,26465.40,557.00,907.70,888.16,1810.35,495.16,24.08,1.00,-1.81,2.00
12/05/2017,52.99,7.90,1.14,0.78,2.36,42953.71,10.26,26.62,2803.35,25862.20,557.00,894.26,886.29,1819.42,495.16,20.66,1.00,9.07,2.00
13/05/2017,52.99,7.98,1.21,0.82,2.26,42762.81,10.09,26.62,3041.67,26013.00,558.00,880.38,879.63,1819.20,499.04,20.49,1.00,-0.22,2.00
14/05/2017,52.92,7.93,1.20,0.83,2.36,42753.58,10.33,26.61,3375.00,25636.00,556.00,872.11,876.87,1814.93,497.28,22.19,1.00,-4.28,2.00
15/05/2017,53.50,7.82,1.34,0.79,2.34,42642.80,10.28,26.61,3375.00,26088.40,545.00,872.29,876.74,1814.61,498.77,24.64,1.00,-0.32,2.00
16/05/2017,53.69,7.69,1.41,0.85,2.34,42745.28,10.03,26.58,3125.00,25711.40,543.00,870.49,875.40,1826.81,500.01,26.76,1.00,12.21,2.00
17/05/2017,53.38,7.49,1.44,0.93,2.34,42734.03,10.08,26.60,3166.67,25862.20,543.00,890.27,873.99,1837.97,500.01,25.97,1.00,11.16,2.00
18/05/2017,53.92,7.77,1.38,1.01,2.16,42858.91,10.25,26.61,3208.33,25786.80,550.00,885.29,886.91,1821.19,498.30,25.83,1.00,-16.78,2.00
19/05/2017,54.39,7.93,1.17,0.93,1.96,42689.07,10.13,26.63,3583.33,23374.00,561.00,905.49,884.77,1820.83,498.68,25.82,1.00,-0.36,2.00
20/05/2017,53.88,7.70,1.34,0.99,2.42,42905.16,10.16,26.59,3541.67,25937.60,546.00,909.47,887.93,1808.80,499.04,24.36,1.00,-12.03,2.00
21/05/2017,53.18,7.65,1.34,0.94,2.26,43060.22,10.08,26.58,3333.33,25786.80,553.00,897.09,884.12,1815.55,505.20,22.70,1.00,6.75,2.00
22/05/2017,53.78,7.57,1.18,0.96,2.06,42851.25,10.14,26.60,3666.67,26163.80,557.00,892.41,885.20,1819.53,504.71,24.70,1.00,3.98,2.00
23/05/2017,54.00,7.59,1.19,0.90,2.24,42685.62,10.33,26.57,3166.67,25636.00,554.00,898.00,885.12,1811.33,503.05,25.38,1.00,-8.20,2.00
24/05/2017,52.71,7.51,1.31,0.94,2.20,42796.95,10.24,26.57,3166.67,26013.00,559.00,899.87,885.48,1795.01,502.93,21.10,1.00,-16.32,2.00
25/05/2017,53.43,7.57,1.12,0.97,2.16,43095.28,10.32,26.56,3583.33,25711.40,564.00,880.59,887.62,1776.67,501.32,25.49,1.00,-18.34,2.00
26/05/2017,53.82,7.45,1.15,1.00,2.56,42706.30,10.23,26.57,3791.67,26013.00,562.00,893.23,888.04,1765.17,502.56,25.49,1.00,-11.51,2.00
27/05/2017,53.46,7.42,1.18,1.00,2.52,42918.04,10.00,26.58,3541.67,26013.00,564.00,888.83,888.46,1763.16,504.32,23.65,1.00,-2.00,2.00
28/05/2017,53.61,7.14,1.13,0.96,2.48,42615.17,10.27,26.57,4166.67,25937.60,554.00,871.43,890.50,1756.38,503.09,23.83,1.00,-6.78,2.00
29/05/2017,54.15,6.91,1.14,0.95,2.62,42701.34,10.44,26.54,3833.33,25937.60,557.00,868.37,890.17,1752.27,501.06,19.64,1.00,-4.11,2.00
30/05/2017,53.87,6.95,1.13,0.92,2.64,44650.70,10.21,26.57,3718.66,26013.00,562.00,871.80,888.91,1745.62,507.87,20.03,1.00,-6.66,2.00
31/05/2017,54.15,6.84,1.17,0.93,3.18,44791.59,10.02,26.59,3166.67,25862.20,580.00,887.54,888.43,1780.46,517.97,20.09,1.00,34.84,2.00
01/06/2017,53.82,6.72,1.18,0.87,2.48,46113.12,10.23,28.02,3291.67,25862.20,601.00,905.32,896.85,1820.63,536.45,21.58,1.00,40.17,2.00
02/06/2017,52.48,6.61,1.20,0.87,2.60,46219.49,10.33,28.27,2916.67,25636.00,600.00,920.08,894.51,1809.39,540.57,22.26,1.00,-11.24,2.00
03/06/2017,51.15,8.13,0.95,0.98,2.06,46280.94,10.63,28.27,2708.33,26163.80,595.00,938.89,893.88,1797.91,539.24,22.77,1.00,-11.48,2.00
04/06/2017,51.00,8.21,0.94,0.98,1.98,46108.10,10.53,28.27,2458.33,25937.60,596.00,943.35,894.68,1789.30,540.23,22.91,1.00,-8.61,2.00
05/06/2017,51.98,8.28,0.87,0.93,2.06,46132.97,10.35,28.27,2791.67,25862.20,597.00,938.08,893.85,1783.60,541.11,24.55,1.00,-5.70,2.00
06/06/2017,51.16,8.18,1.11,1.07,2.24,46378.33,10.52,28.26,2750.00,25862.20,596.00,937.23,893.97,1787.60,540.23,24.27,1.00,4.00,2.00
07/06/2017,52.46,8.09,1.12,1.08,2.36,46425.37,10.39,28.27,2500.00,25862.20,597.00,940.90,892.19,1782.35,541.11,22.70,1.00,-5.24,2.00
